,SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
254,MLS Listing,,Single Family Residential,1471 Padre Ln,PEBBLE BEACH,CA,93953.0,7495000.0,4.0,4.5,PEBBLE BEACH,4514.0,44431.0,2005.0,68.0,1660.0,,Active,,,http://www.redfin.com/CA/Pebble-Beach/1471-Padre-Ln-93953/home/14939604,MLSListings,ML81857561,N,Y,36.5677068,-121.9557987
255,MLS Listing,,Single Family Residential,1076 Hilby Ave,SEASIDE,CA,93955.0,900000.0,5.0,3.0,SEASIDE,2157.0,6496.0,1958.0,68.0,417.0,,Active,,,http://www.redfin.com/CA/Seaside/1076-Hilby-Ave-93955/home/14930704,MLSListings,ML81860062,N,Y,36.6023495,-121.8435178
256,MLS Listing,,Vacant Land,32800 Johnson Canyon Rd,GONZALES,CA,93926.0,1100000.0,,,GONZALES,,6098400.0,,68.0,,,Active,,,http://www.redfin.com/CA/Gonzales/32800-Johnson-Canyon-Rd-93926/home/146976957,MLSListings,ML81860026,N,Y,36.5358801,-121.3872124
257,MLS Listing,,Vacant Land,747 Filmore St,MONTEREY,CA,93940.0,435000.0,,,MONTEREY,,5227.0,,69.0,,,Active,,,http://www.redfin.com/CA/Monterey/747-Filmore-St-93940/home/23078980,MLSListings,ML81859994,N,Y,36.6104399,-121.9118203
258,MLS Listing,,Single Family Residential,75751 Indian Valley Rd,San Miguel,CA,93451.0,3500000.0,2.0,2.5,San Miguel,2086.0,4138200.0,2001.0,71.0,1678.0,,Active,,,http://www.redfin.com/CA/San-Miguel/75751-Indian-Valley-Rd-93451/home/173150072,CRMLS,NS21186505,N,Y,35.8276215,-120.7047052
259,MLS Listing,,Single Family Residential,25246 Arriba Del Mundo Dr,CARMEL,CA,93923.0,1550000.0,3.0,3.0,CARMEL,1731.0,43560.0,1968.0,71.0,895.0,,Active,,,http://www.redfin.com/CA/Carmel-By-The-Sea/25246-Arriba-Del-Mundo-Dr-93923/home/14925370,MLSListings,ML81859621,N,Y,36.556176,-121.9019749
260,MLS Listing,,Other,0 Kimball Ave,SEASIDE,CA,93955.0,530000.0,,,SEASIDE,,43560.0,,73.0,,,Active,,,http://www.redfin.com/CA/SEASIDE/KIMBALL-AVE-93955/home/23072968,MLSListings,ML81859475,N,Y,36.599936,-121.831753
261,MLS Listing,,Single Family Residential,1340 Cachuma Ct,SALINAS,CA,93905.0,669000.0,4.0,3.0,SALINAS,1793.0,4777.0,1997.0,73.0,373.0,,Active,,,http://www.redfin.com/CA/Salinas/1340-Cachuma-Ct-93905/home/14899199,MLSListings,ML81859455,N,Y,36.6882516,-121.6000691
262,MLS Listing,,Single Family Residential,67980 Jolon,Lockwood,CA,93930.0,1575000.0,7.0,6.0,Lockwood,5795.0,426017.0,2004.0,74.0,272.0,,Active,,,http://www.redfin.com/CA/KING-CITY/67980-JOLON-RD-93930/home/14879100,CRMLS,SC21180950,N,Y,35.930601,-121.105558
263,MLS Listing,,Other,3153 Ocean Ter,MARINA,CA,93933.0,695000.0,1.0,2.5,MARINA,1832.0,2784.0,2004.0,74.0,379.0,85.0,Active,,,http://www.redfin.com/CA/Marina/3153-Ocean-Ter-93933/home/176166740,MLSListings,ML81859404,N,Y,36.6814883,-121.7875777
264,MLS Listing,,Single Family Residential,9265 Sycamore Canyon Rd,BIG SUR,CA,93920.0,2900000.0,1.0,1.0,BIG SUR,1150.0,217800.0,2017.0,74.0,2522.0,167.0,Active,,,http://www.redfin.com/CA/Big-Sur/9265-Sycamore-Canyon-Rd-93920/home/23090189,MLSListings,ML81859326,N,Y,36.246682,-121.80205
265,MLS Listing,,Single Family Residential,8761 Woodland Heights Ln,SALINAS,CA,93907.0,1100000.0,3.0,2.5,SALINAS,2366.0,138085.0,1997.0,75.0,465.0,50.0,Active,,,http://www.redfin.com/CA/Salinas/8761-Woodland-Heights-Ct-93907/home/14908329,MLSListings,ML81859213,N,Y,36.7884389,-121.63358
266,MLS Listing,,Single Family Residential,906 Antigua Ave,SALINAS,CA,93905.0,589000.0,3.0,2.0,SALINAS,1183.0,6065.0,1995.0,76.0,498.0,,Active,,,http://www.redfin.com/CA/Salinas/906-Antigua-Ave-93905/home/14899957,MLSListings,ML81858997,N,Y,36.6930815,-121.6050213
267,MLS Listing,,Vacant Land,12 Arroyo Sequoia,CARMEL,CA,93923.0,550000.0,,,CARMEL,,180774.0,,77.0,,138.0,Active,,,http://www.redfin.com/CA/Carmel-By-The-Sea/12-Arroyo-Sequoia-93923/home/17494943,MLSListings,ML81858789,N,Y,36.430772,-121.783839
268,MLS Listing,,Vacant Land,21 Tehama (Lot 39),CARMEL,CA,93923.0,2000000.0,,,CARMEL,,573249.0,,77.0,,,Active,,,http://www.redfin.com/CA/Carmel-By-The-Sea/21-Tehama-93923/home/160573115,MLSListings,ML81858751,N,Y,36.5466576,-121.8328221
269,MLS Listing,,Vacant Land,34 Tehama (Lot 29),CARMEL,CA,93923.0,3750000.0,,,CARMEL,,218235.0,,77.0,,,Active,,,http://www.redfin.com/CA/Carmel-By-The-Sea/34-Tehama-93923/home/23071256,MLSListings,ML81858750,N,Y,36.546397,-121.836083
270,MLS Listing,,Single Family Residential,11585 Rancho Fiesta Rd,CARMEL VALLEY,CA,93924.0,1900000.0,3.0,2.0,CARMEL VALLEY,2269.0,61420.0,1974.0,78.0,837.0,,Active,,,http://www.redfin.com/CA/Carmel-Valley/11585-Rancho-Fiesta-Rd-93924/home/14882330,MLSListings,ML81856391,N,Y,36.5157847,-121.7767757
271,MLS Listing,,Single Family Residential,0 Bixby Creek Rd,CARMEL,CA,93923.0,20000000.0,6.0,3.5,CARMEL,4086.0,3395938.0,2015.0,80.0,4895.0,,Active,,,http://www.redfin.com/CA/Carmel-By-The-Sea/Bixby-Creek-RD-93923/home/176125608,MLSListings,ML81857302,N,Y,36.5552386,-121.9232879
272,MLS Listing,,Single Family Residential,0 Scarlett Rd,CARMEL VALLEY,CA,93924.0,7950000.0,4.0,6.0,CARMEL VALLEY,3639.0,851598.0,2005.0,81.0,2185.0,,Active,,,http://www.redfin.com/CA/Carmel-Valley/10-Scarlett-Rd-93924/home/14876637,MLSListings,ML81858365,N,Y,36.5208058,-121.79126
273,MLS Listing,,Vacant Land,25356 Tierra Grande Dr,CARMEL,CA,93923.0,600000.0,,,CARMEL,,45272.0,,81.0,,,Active,,,http://www.redfin.com/CA/Carmel-By-The-Sea/25356-Tierra-Grande-Dr-93923/home/176122841,MLSListings,ML81858328,N,Y,36.5419859,-121.7968177
274,MLS Listing,,Single Family Residential,3208 Palmero Way,PEBBLE BEACH,CA,93953.0,12500000.0,5.0,5.5,PEBBLE BEACH,7061.0,38985.0,1986.0,81.0,1770.0,,Active,,,http://www.redfin.com/CA/Pebble-Beach/3208-Palmero-Way-93953/home/14939970,MLSListings,ML81858320,N,Y,36.5706311,-121.9390672
275,MLS Listing,,Single Family Residential,1684 Crespi Ln,PEBBLE BEACH,CA,93953.0,5500000.0,4.0,4.5,PEBBLE BEACH,2997.0,42950.0,1957.0,81.0,1835.0,,Active,,,http://www.redfin.com/CA/Pebble-Beach/1684-Crespi-Ln-93953/home/14939903,MLSListings,ML81858254,N,Y,36.5644126,-121.9335648
